DateTime,MODIS_filename,MODIS_SST,MODIS_pix,L8_filename,L8_LST,L8_pix,time_dif
2022-02-04 12:00:00,20220204120501-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,-1.3197825106079542,92642,LC08_L1GT_012112_20220204_20220212_02_T2_SW_LST.TIF,-2.9520924856639836,92642,0 days 00:05:01
2022-03-24 12:00:00,20220324120001-JPL-L2P_GHRSST-SSTskin-MODIS_T-N-v02.0-fv01.0,,0,LC08_L1GT_012112_20220324_20220329_02_T2_SW_LST.TIF,,0,0 days 00:00:01
2022-12-21 12:00:00,20221221113500-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,,0,LC08_L1GT_012112_20221221_20221228_02_T2_SW_LST.TIF,,0,0 days 00:25:00
2023-01-22 12:00:00,20230122121500-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,-1.1012786473697658,214018,LC08_L1GT_012112_20230122_20230207_02_T2_SW_LST.TIF,-2.706406527521174,214018,0 days 00:15:00
2023-03-11 12:00:00,20230311122501-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,,0,LC08_L1GT_012112_20230311_20230320_02_T2_SW_LST.TIF,,0,0 days 00:25:01
2021-12-13 12:00:00,20211213114501-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,,0,LC08_L1GT_162132_20211213_20211223_02_T2_SW_LST.TIF,,0,0 days 00:14:59
2022-11-30 12:00:00,20221130115501-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,-1.7241283567369532,2197882,LC08_L1GT_162132_20221130_20221206_02_T2_SW_LST.TIF,-4.049118004924778,2197882,0 days 00:04:59
2021-12-20 12:00:00,20211220115500-JPL-L2P_GHRSST-SSTskin-MODIS_T-N-v02.0-fv01.0,-1.2641968912957093,15106,LC08_L1GT_163131_20211220_20211229_02_T2_SW_LST.TIF,-3.0309375457379604,15106,0 days 00:05:00
2022-01-05 12:00:00,20220105115000-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,,0,LC08_L1GT_163131_20220105_20220114_02_T2_SW_LST.TIF,,0,0 days 00:10:00
2023-01-08 12:00:00,20230108123001-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,,0,LC08_L1GT_163131_20230108_20230124_02_T2_SW_LST.TIF,,0,0 days 00:30:01
2021-12-27 12:00:00,20211227120001-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,,0,LC08_L1GT_164131_20211227_20220105_02_T2_SW_LST.TIF,,0,0 days 00:00:01
2022-01-12 12:00:00,20220112120001-JPL-L2P_GHRSST-SSTskin-MODIS_T-N-v02.0-fv01.0,-1.5317881564639946,158978,LC08_L1GT_164131_20220112_20220122_02_T2_SW_LST.TIF,-2.9387315455821605,158978,0 days 00:00:01
2022-12-21 12:00:00,20221221113500-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,,0,LC08_L1GT_165132_20221221_20221228_02_T2_SW_LST.TIF,,0,0 days 00:25:00
