wind spd [m/s],Surface T[K],TOA T[K],transmittance,jakobian,TCWV [cm]
0,271.459,270.36,0.8675,0.8714,0.3181920431543902
0,271.46,270.341,0.9435,0.9484,0.3870018303906024
0,271.46,270.56,0.8608,0.8639,0.31939969306541993
0,271.46,270.383,0.8726,0.8764,0.3090821534366986
0,271.459,270.384,0.8739,0.8776,0.33681741471348525
0,271.46,270.302,0.9371,0.9424,0.36427776049925303
0,271.46,270.566,0.8606,0.8637,0.3238833852538839
0,271.46,270.389,0.8752,0.8789,0.3086265952185507
0,271.459,270.431,0.883,0.8862,0.3500770395598905
0,271.46,270.259,0.9292,0.9349,0.351342660337628
0,271.46,270.566,0.8539,0.8569,0.3228851340671891
0,271.46,270.454,0.8886,0.8918,0.3251156613114571
0,271.459,270.517,0.896,0.8992,0.3633303421657753
0,271.46,270.155,0.9088,0.9154,0.37711726226591136
0,271.46,270.567,0.8459,0.849,0.3186344470333906
0,271.46,270.522,0.9015,0.9047,0.3636418144830294
0,271.459,270.56,0.9041,0.9072,0.3744648784243346
0,271.46,270.143,0.8964,0.903,0.47449235977627435
0,271.46,270.556,0.839,0.842,0.31283736036261106
0,271.46,270.561,0.9088,0.9119,0.41391127449230875
0,271.459,270.547,0.9018,0.9051,0.36118302376448636
0,271.46,270.149,0.8826,0.8891,0.5418783172643054
0,271.46,270.556,0.8362,0.8392,0.3087666532404032
0,271.46,270.53,0.9135,0.9168,0.47671049746855454
0,271.459,270.556,0.9037,0.9069,0.33564550585572045
0,271.46,270.203,0.8699,0.8756,0.5717097581743001
0,271.46,270.565,0.835,0.8379,0.31109543014179153
0,271.46,270.435,0.9201,0.9238,0.5559660026614595
0,271.459,270.581,0.908,0.9109,0.31458484803679143
0,271.46,270.298,0.8564,0.8609,0.49549157969337143
0,271.46,270.566,0.8319,0.8348,0.31548913237446014
0,271.46,270.359,0.9255,0.9301,0.6979359924133113
0,271.459,270.609,0.913,0.9156,0.29422606088725506
0,271.46,270.38,0.8483,0.8518,0.3178016448022516
0,271.46,270.576,0.8275,0.8304,0.32487388659735994
0,271.46,270.312,0.9272,0.9323,0.8993912294208523
0,271.459,270.633,0.9174,0.9197,0.27526443790693056
0,271.46,270.418,0.8401,0.8431,0.22064818261077948
0,271.46,270.586,0.8274,0.8303,0.34134638230180536
0,271.46,270.303,0.9291,0.9343,1.1260091366572684
0,271.459,270.654,0.9238,0.9259,0.25426827713847244
